Symbol,Market Cap,Sector,Industry
CGA,85640177,Basic Industries,Agricultural Chemicals
CGAU,2189619115,Basic Industries,Precious Metals
CHAA,365250000,Finance,Business Services
CHCT,1226960481,Consumer Services,Real Estate Investment Trusts
CHD,21218675441,Consumer Non-Durables,Package Goods/Cosmetics
CHE,7674870809,Health Care,Medical/Nursing Services
CHGG,11994934033,Miscellaneous,Service to the Health Industry
CHH,6635057361,Consumer Services,Hotels/Resorts
CHMI,167684645,Consumer Services,Real Estate Investment Trusts
CHMI^A,,,
CHMI^B,,,
CHN,303273868,Finance,Investment Managers
CHPT,8832578430,,
CHRA,155792348,Public Utilities,Medical Specialities
CHS,843499187,Consumer Services,Clothing/Shoe/Accessory Stores
CHT,31650381883,Public Utilities,Telecommunications Equipment
CHWY,35040438796,Consumer Services,Catalog/Specialty Distribution
CI,80586372000,Health Care,Medical Specialities
CIA,263395148,Finance,Life Insurance
CIB,7259389283,Finance,Commercial Banks
CIEN,8784583548,Public Utilities,Telecommunications Equipment
CIF,64158034,Finance,Trusts Except Educational Religious and Charitable
CIG,3893393554,Public Utilities,Electric Utilities: Central
CII,919489976,Finance,Finance Companies
CIM,3476771918,Consumer Services,Real Estate Investment Trusts
CIM^A,,,
CIM^B,,,
CIM^C,,,
CIM^D,,,
CINR,277305042,Basic Industries,Specialty Chemicals
CIO,540294107,Consumer Services,Real Estate Investment Trusts
CIO^A,,,
CIR,668349344,Capital Goods,Fluid Controls
CIT,4750227215,Finance,Major Banks
CIT^B,,,
CIXX,3735228941,,
CL,70156190925,Consumer Non-Durables,Package Goods/Cosmetics
CLAA,402187500,,
CLAS,313734375,,
CLB,1681377977,Energy,Oilfield Services/Equipment
CLBR,0,,
CLDR,4552703032,Technology,Computer Software: Prepackaged Software
CLDT,615989021,Consumer Services,Real Estate Investment Trusts
CLDT^A,,,
CLF,11526204807,,
CLH,5118187339,,
CLI,1626800537,Consumer Services,Real Estate Investment Trusts
CLIM,237636000,,
CLPR,132360999,Consumer Services,Real Estate Investment Trusts
CLR,14043496990,Energy,Oil & Gas Production
CLS,993816000,,
CLVT,16542089399,Technology,EDP Services
CLVT^A,,,
CLW,498869002,Basic Industries,Paper
CLX,22362091893,Consumer Durables,Specialty Chemicals
CM,51501999690,Finance,Commercial Banks
CMA,9743575846,Finance,Major Banks
CMC,3769536772,Basic Industries,Steel/Iron Ore
CMCM,296047800,Technology,Computer Software: Prepackaged Software
CMG,45478787853,Consumer Services,Restaurants
CMI,35568163176,Capital Goods,Construction/Ag Equipment/Trucks
CMO,603362479,Consumer Services,Real Estate Investment Trusts
CMO^E,,,
CMP,2079512230,Energy,Agricultural Chemicals
CMRE,1440182241,Transportation,Marine Transportation
CMRE^B,,,
CMRE^C,,,
CMRE^D,,,
CMRE^E,,,
CMS,17471779042,Public Utilities,Power Generation
CMS^B,,,
CMS^C,,,
CMSA,0,Public Utilities,Power Generation
CMSC,0,Public Utilities,Power Generation
CMSD,0,Public Utilities,Power Generation
CMU,135961507,Finance,Investment Managers
CNA,12210975318,Finance,Property-Casualty Insurers
CNC,43530287842,Health Care,Medical Specialities
CND,368383400,Finance,Business Services
CNF,209861416,Finance,Finance: Consumer Services
CNHI,22399171033,Capital Goods,Construction/Ag Equipment/Trucks
